Indicator Name,Indicator Code,Indicator Name and Definition
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,"SH.DYN.0509 - Probability of dying among children ages 5-9 years (per 1,000)"
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,"SH.DYN.2024 - Probability of dying among youth ages 20-24 years (per 1,000)"
Procedures to build a warehouse (number),IC.WRH.PROC,IC.WRH.PROC - Procedures to build a warehouse (number)
Procedures to register property (number),IC.PRP.PROC,IC.PRP.PROC - Procedures to register property (number)
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,IC.TAX.PRFT.CP.ZS - Profit tax (% of commercial profits)
Progression to secondary school (%),SE.SEC.PROG.ZS,SE.SEC.PROG.ZS - Progression to secondary school (%)
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,"SE.SEC.PROG.FE.ZS - Progression to secondary school, female (%)"
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,"SE.SEC.PROG.MA.ZS - Progression to secondary school, male (%)"
Proportion of people living below 50 percent of median income (%),SI.DST.50MD,SI.DST.50MD - Proportion of people living below 50 percent of median income (%)
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,SH.UHC.NOP1.ZS - Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,SH.UHC.NOP2.ZS - Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,SH.UHC.NOPR.ZS - Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS,SH.UHC.FBP1.ZS - Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,SH.UHC.FBP2.ZS - Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,SH.UHC.FBPR.ZS - Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,SH.UHC.TOT1.ZS - Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS,SH.UHC.TOT2.ZS - Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.TOTR.ZS,SH.UHC.TOTR.ZS - Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,SH.UHC.OOPC.10.ZS - Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,SH.UHC.OOPC.25.ZS - Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,SG.GEN.PARL.ZS - Proportion of seats held by women in national parliaments (%)
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,"SG.TIM.UWRK.FE - Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,"SG.TIM.UWRK.MA - Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,SG.VAW.1549.ZS - Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
Prosperity gap (average shortfall from a prosperity standard of $25/day),SI.SPR.PGAP,SI.SPR.PGAP - Prosperity gap (average shortfall from a prosperity standard of $25/day)
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS,"DT.TDS.DPPG.XP.ZS - Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS,DT.TDS.DPPG.GN.ZS - Public and publicly guaranteed debt service (% of GNI)
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,IC.CRD.PUBL.ZS - Public credit registry coverage (% of adults)
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,IE.PPN.ENGY.CD - Public private partnerships investment in energy (current US$)
Public private partnerships investment in ICT (current US$),IE.PPN.ICTI.CD,IE.PPN.ICTI.CD - Public private partnerships investment in ICT (current US$)
Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,IE.PPN.TRAN.CD - Public private partnerships investment in transport (current US$)
Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD,IE.PPN.WATR.CD - Public private partnerships investment in water and sanitation (current US$)
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD,SE.LPV.PRIM.LD - Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,"SE.SEC.ENRL.LO.TC.ZS - Pupil-teacher ratio, lower secondary"
"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,"SE.PRE.ENRL.TC.ZS - Pupil-teacher ratio, preprimary"
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,"SE.PRM.ENRL.TC.ZS - Pupil-teacher ratio, primary"
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"SE.SEC.ENRL.TC.ZS - Pupil-teacher ratio, secondary"
"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,"SE.TER.ENRL.TC.ZS - Pupil-teacher ratio, tertiary"
"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,"SE.SEC.ENRL.UP.TC.ZS - Pupil-teacher ratio, upper secondary"
Rail lines (total route-km),IS.RRS.TOTL.KM,IS.RRS.TOTL.KM - Rail lines (total route-km)
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,"IS.RRS.GOOD.MT.K6 - Railways, goods transported (million ton-km)"
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,"IS.RRS.PASG.KM - Railways, passengers carried (million passenger-km)"
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,SL.TLF.CACT.FM.ZS - Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,SL.TLF.CACT.FM.NE.ZS - Ratio of female to male labor force participation rate (%) (national estimate)
Real effective exchange rate index (2010 = 100),PX.REX.REER,PX.REX.REER - Real effective exchange rate index (2010 = 100)
Real interest rate (%),FR.INR.RINR,FR.INR.RINR - Real interest rate (%)
Refugee population by country or territory of asylum,SM.POP.REFG,SM.POP.REFG - Refugee population by country or territory of asylum
Refugee population by country or territory of origin,SM.POP.REFG.OR,SM.POP.REFG.OR - Refugee population by country or territory of origin
Regulatory Quality: Estimate,RQ.EST,RQ.EST - Regulatory Quality: Estimate
Regulatory Quality: Number of Sources,RQ.NO.SRC,RQ.NO.SRC - Regulatory Quality: Number of Sources
Regulatory Quality: Percentile Rank,RQ.PER.RNK,RQ.PER.RNK - Regulatory Quality: Percentile Rank
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,"RQ.PER.RNK.LOWER - Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval"
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,"RQ.PER.RNK.UPPER - Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval"
Regulatory Quality: Standard Error,RQ.STD.ERR,RQ.STD.ERR - Regulatory Quality: Standard Error
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,EG.ELC.RNEW.ZS - Renewable electricity output (% of total electricity output)
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS - Renewable energy consumption (% of total final energy consumption)
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,ER.H2O.INTR.PC - Renewable internal freshwater resources per capita (cubic meters)
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,"ER.H2O.INTR.K3 - Renewable internal freshwater resources, total (billion cubic meters)"
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,"SE.PRM.REPT.FE.ZS - Repeaters, primary, female (% of female enrollment)"
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,"SE.PRM.REPT.MA.ZS - Repeaters, primary, male (% of male enrollment)"
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,"SE.PRM.REPT.ZS - Repeaters, primary, total (% of total enrollment)"
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,GB.XPD.RSDV.GD.ZS - Research and development expenditure (% of GDP)
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,SP.POP.SCIE.RD.P6 - Researchers in R&D (per million people)
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,"BN.RES.INCL.CD - Reserves and related items (BoP, current US$)"
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"GC.REV.XGRT.GD.ZS - Revenue, excluding grants (% of GDP)"
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,"GC.REV.XGRT.CN - Revenue, excluding grants (current LCU)"
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,SH.SGR.CRSK.ZS - Risk of catastrophic expenditure for surgical care (% of people at risk)
Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,SH.SGR.IRSK.ZS - Risk of impoverishing expenditure for surgical care (% of people at risk)
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,"FR.INR.RISK - Risk premium on lending (lending rate minus treasury bill rate, %)"
Rule of Law: Estimate,RL.EST,RL.EST - Rule of Law: Estimate
Rule of Law: Number of Sources,RL.NO.SRC,RL.NO.SRC - Rule of Law: Number of Sources
Rule of Law: Percentile Rank,RL.PER.RNK,RL.PER.RNK - Rule of Law: Percentile Rank
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,"RL.PER.RNK.LOWER - Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval"
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,"RL.PER.RNK.UPPER - Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval"
Rule of Law: Standard Error,RL.STD.ERR,RL.STD.ERR - Rule of Law: Standard Error
Rural land area (sq. km),AG.LND.TOTL.RU.K2,AG.LND.TOTL.RU.K2 - Rural land area (sq. km)
Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,AG.LND.EL5M.RU.ZS - Rural land area where elevation is below 5 meters (% of total land area)
Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,AG.LND.EL5M.RU.K2 - Rural land area where elevation is below 5 meters (sq. km)
Rural population,SP.RUR.TOTL,SP.RUR.TOTL - Rural population
Rural population (% of total population),SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS - Rural population (% of total population)
Rural population growth (annual %),SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG - Rural population growth (annual %)
Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,EN.POP.EL5M.RU.ZS - Rural population living in areas where elevation is below 5 meters (% of total population)
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,CM.MKT.INDX.ZG - S&P Global Equity Indices (annual % change)
"School enrollment, preprimary (% gross)",SE.PRE.ENRR,"SE.PRE.ENRR - School enrollment, preprimary (% gross)"
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,"SE.PRE.ENRR.FE - School enrollment, preprimary, female (% gross)"
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,"SE.PRE.ENRR.MA - School enrollment, preprimary, male (% gross)"
"School enrollment, primary (% gross)",SE.PRM.ENRR,"SE.PRM.ENRR - School enrollment, primary (% gross)"
"School enrollment, primary (% net)",SE.PRM.NENR,"SE.PRM.NENR - School enrollment, primary (% net)"
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,"SE.ENR.PRIM.FM.ZS - School enrollment, primary (gross), gender parity index (GPI)"
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"SE.ENR.PRSC.FM.ZS - School enrollment, primary and secondary (gross), gender parity index (GPI)"
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,"SE.PRM.ENRR.FE - School enrollment, primary, female (% gross)"
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,"SE.PRM.NENR.FE - School enrollment, primary, female (% net)"
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,"SE.PRM.ENRR.MA - School enrollment, primary, male (% gross)"
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,"SE.PRM.NENR.MA - School enrollment, primary, male (% net)"
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,"SE.PRM.PRIV.ZS - School enrollment, primary, private (% of total primary)"
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"SE.SEC.ENRR - School enrollment, secondary (% gross)"
"School enrollment, secondary (% net)",SE.SEC.NENR,"SE.SEC.NENR - School enrollment, secondary (% net)"
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,"SE.ENR.SECO.FM.ZS - School enrollment, secondary (gross), gender parity index (GPI)"
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,"SE.SEC.ENRR.FE - School enrollment, secondary, female (% gross)"
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,"SE.SEC.NENR.FE - School enrollment, secondary, female (% net)"
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,"SE.SEC.ENRR.MA - School enrollment, secondary, male (% gross)"
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,"SE.SEC.NENR.MA - School enrollment, secondary, male (% net)"
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,"SE.SEC.PRIV.ZS - School enrollment, secondary, private (% of total secondary)"
"School enrollment, tertiary (% gross)",SE.TER.ENRR,"SE.TER.ENRR - School enrollment, tertiary (% gross)"
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,"SE.ENR.TERT.FM.ZS - School enrollment, tertiary (gross), gender parity index (GPI)"
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,"SE.TER.ENRR.FE - School enrollment, tertiary, female (% gross)"
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,"SE.TER.ENRR.MA - School enrollment, tertiary, male (% gross)"
Scientific and technical journal articles,IP.JRN.ARTC.SC,IP.JRN.ARTC.SC - Scientific and technical journal articles
"Secondary education, duration (years)",SE.SEC.DURS,"SE.SEC.DURS - Secondary education, duration (years)"
"Secondary education, general pupils",SE.SEC.ENRL.GC,"SE.SEC.ENRL.GC - Secondary education, general pupils"
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,"SE.SEC.ENRL.GC.FE.ZS - Secondary education, general pupils (% female)"
"Secondary education, pupils",SE.SEC.ENRL,"SE.SEC.ENRL - Secondary education, pupils"
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,"SE.SEC.ENRL.FE.ZS - Secondary education, pupils (% female)"
"Secondary education, teachers",SE.SEC.TCHR,"SE.SEC.TCHR - Secondary education, teachers"
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,"SE.SEC.TCHR.FE.ZS - Secondary education, teachers (% female)"
"Secondary education, teachers, female",SE.SEC.TCHR.FE,"SE.SEC.TCHR.FE - Secondary education, teachers, female"
"Secondary education, vocational pupils",SE.SEC.ENRL.VO,"SE.SEC.ENRL.VO - Secondary education, vocational pupils"
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,"SE.SEC.ENRL.VO.FE.ZS - Secondary education, vocational pupils (% female)"
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,"BX.TRF.CURR.CD - Secondary income receipts (BoP, current US$)"
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,"BM.TRF.PRVT.CD - Secondary income, other sectors, payments (BoP, current US$)"
Secure Internet servers,IT.NET.SECR,IT.NET.SECR - Secure Internet servers
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,IT.NET.SECR.P6 - Secure Internet servers (per 1 million people)
"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,"SL.EMP.SELF.FE.ZS - Self-employed, female (% of female employment) (modeled ILO estimate)"
"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,"SL.EMP.SELF.MA.ZS - Self-employed, male (% of male employment) (modeled ILO estimate)"
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,"SL.EMP.SELF.ZS - Self-employed, total (% of total employment) (modeled ILO estimate)"
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,"BX.GSR.NFSV.CD - Service exports (BoP, current US$)"
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,"BM.GSR.NFSV.CD - Service imports (BoP, current US$)"
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,"NV.SRV.TOTL.ZS - Services, value added (% of GDP)"
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,"NV.SRV.TOTL.KD.ZG - Services, value added (annual % growth)"
"Services, value added (constant 2015 US$)",NV.SRV.TOTL.KD,"NV.SRV.TOTL.KD - Services, value added (constant 2015 US$)"
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,"NV.SRV.TOTL.KN - Services, value added (constant LCU)"
"Services, value added (current LCU)",NV.SRV.TOTL.CN,"NV.SRV.TOTL.CN - Services, value added (current LCU)"
"Services, value added (current US$)",NV.SRV.TOTL.CD,"NV.SRV.TOTL.CD - Services, value added (current US$)"
"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,"NV.SRV.EMPL.KD - Services, value added per worker (constant 2015 US$)"
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,SP.POP.BRTH.MF - Sex ratio at birth (male births per female births)
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,"TM.TAX.MRCH.IP.ZS - Share of tariff lines with international peaks, all products (%)"
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,"TM.TAX.MANF.IP.ZS - Share of tariff lines with international peaks, manufactured products (%)"
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,"TM.TAX.TCOM.IP.ZS - Share of tariff lines with international peaks, primary products (%)"
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,"TM.TAX.MRCH.SR.ZS - Share of tariff lines with specific rates, all products (%)"
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,"TM.TAX.MANF.SR.ZS - Share of tariff lines with specific rates, manufactured products (%)"
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,"TM.TAX.TCOM.SR.ZS - Share of tariff lines with specific rates, primary products (%)"
"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,"SL.UEM.NEET.FE.ZS - Share of youth not in education, employment or training, female (% of female youth population)"
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,"SL.UEM.NEET.FE.ME.ZS - Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)"
"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,"SL.UEM.NEET.MA.ZS - Share of youth not in education, employment or training, male (% of male youth population)"
"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,"SL.UEM.NEET.MA.ME.ZS - Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)"
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,"SL.UEM.NEET.ZS - Share of youth not in education, employment or training, total (% of youth population)"
"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,"SL.UEM.NEET.ME.ZS - Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)"
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,"DT.DOD.DSTC.XP.ZS - Short-term debt (% of exports of goods, services and primary income)"
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,DT.DOD.DSTC.ZS - Short-term debt (% of total external debt)
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,DT.DOD.DSTC.IR.ZS - Short-term debt (% of total reserves)
Social contributions (% of revenue),GC.REV.SOCL.ZS,GC.REV.SOCL.ZS - Social contributions (% of revenue)
Social contributions (current LCU),GC.REV.SOCL.CN,GC.REV.SOCL.CN - Social contributions (current LCU)
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,"SH.MED.SAOP.P5 - Specialist surgical workforce (per 100,000 population)"
Start-up procedures to register a business (number),IC.REG.PROC,IC.REG.PROC - Start-up procedures to register a business (number)
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,"IC.REG.PROC.FE - Start-up procedures to register a business, female (number)"
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,"IC.REG.PROC.MA - Start-up procedures to register a business, male (number)"
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,IQ.SPI.OVRL - Statistical performance indicators (SPI): Overall score (scale 0-100)
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,IQ.SPI.PIL1 - Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),IQ.SPI.PIL2,IQ.SPI.PIL2 - Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3,IQ.SPI.PIL3 - Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),IQ.SPI.PIL4,IQ.SPI.PIL4 - Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5,IQ.SPI.PIL5 - Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,"CM.MKT.TRAD.GD.ZS - Stocks traded, total value (% of GDP)"
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"CM.MKT.TRAD.CD - Stocks traded, total value (current US$)"
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"CM.MKT.TRNR - Stocks traded, turnover ratio of domestic shares (%)"
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,IC.LGL.CRED.XQ - Strength of legal rights index (0=weak to 12=strong)
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,GC.XPN.TRFT.ZS - Subsidies and other transfers (% of expense)
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN,GC.XPN.TRFT.CN - Subsidies and other transfers (current LCU)
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,"SH.STA.SUIC.P5 - Suicide mortality rate (per 100,000 population)"
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,"SH.STA.SUIC.FE.P5 - Suicide mortality rate, female (per 100,000 female population)"
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,"SH.STA.SUIC.MA.P5 - Suicide mortality rate, male (per 100,000 male population)"
Surface area (sq. km),AG.SRF.TOTL.K2,AG.SRF.TOTL.K2 - Surface area (sq. km)
"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",SI.SPR.PC40,"SI.SPR.PC40 - Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)"
"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",SI.SPR.PCAP,"SI.SPR.PCAP - Survey mean consumption or income per capita, total population (2017 PPP $ per day)"
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,"SP.DYN.TO65.FE.ZS - Survival to age 65, female (% of cohort)"
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,"SP.DYN.TO65.MA.ZS - Survival to age 65, male (% of cohort)"
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,"TM.TAX.MRCH.SM.AR.ZS - Tariff rate, applied, simple mean, all products (%)"
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,"TM.TAX.MANF.SM.AR.ZS - Tariff rate, applied, simple mean, manufactured products (%)"
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,"TM.TAX.TCOM.SM.AR.ZS - Tariff rate, applied, simple mean, primary products (%)"
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,"TM.TAX.MRCH.WM.AR.ZS - Tariff rate, applied, weighted mean, all products (%)"
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,"TM.TAX.MANF.WM.AR.ZS - Tariff rate, applied, weighted mean, manufactured products (%)"
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,"TM.TAX.TCOM.WM.AR.ZS - Tariff rate, applied, weighted mean, primary products (%)"
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,"TM.TAX.MRCH.SM.FN.ZS - Tariff rate, most favored nation, simple mean, all products (%)"
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,"TM.TAX.MANF.SM.FN.ZS - Tariff rate, most favored nation, simple mean, manufactured products (%)"
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,"TM.TAX.TCOM.SM.FN.ZS - Tariff rate, most favored nation, simple mean, primary products (%)"
