Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
Present value of external debt (current US$),DT.DOD.PVLX.CD,Economic,['Economic'],Economic
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Demographics,['Demographics'],Demographics
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Demographics,"['Demographics', 'Gender']",Gender
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Gender,['Gender'],Gender
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,Demographics,"['Demographics', 'Gender']",Gender
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Other,[],Other
"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,Gender,['Gender'],Gender
"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,Other,[],Other
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Gender
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,Agriculture,"['Agriculture', 'Demographics', 'Military']",Agriculture
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,Healthcare,['Healthcare'],Healthcare
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Healthcare,['Healthcare'],Healthcare
"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,Healthcare,"['Healthcare', 'Gender']",Healthcare
"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,Healthcare,['Healthcare'],Healthcare
Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,Agriculture,"['Agriculture', 'Demographics', 'Military']",Agriculture
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,Healthcare,['Healthcare'],Healthcare
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,Healthcare,"['Healthcare', 'Gender']",Healthcare
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,Healthcare,['Healthcare'],Healthcare
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Demographics,['Demographics'],Demographics
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,Demographics,['Demographics'],Demographics
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,Demographics,['Demographics'],Demographics
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Demographics,['Demographics'],Demographics
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Demographics,['Demographics'],Demographics
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,Demographics,['Demographics'],Demographics
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,Healthcare,['Healthcare'],Healthcare
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,Healthcare,"['Healthcare', 'Gender']",Healthcare
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,Healthcare,['Healthcare'],Healthcare
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Economic,['Economic'],Economic
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Gender
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,Education,"['Education', 'Demographics']",Education
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Education,"['Education', 'Demographics']",Education
"Primary education, duration (years)",SE.PRM.DURS,Education,['Education'],Education
"Primary education, pupils",SE.PRM.ENRL,Education,['Education'],Education
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,Education,"['Education', 'Gender']",Education
"Primary education, teachers",SE.PRM.TCHR,Education,['Education'],Education
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,Education,"['Education', 'Gender']",Education
Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,Economic,"['Economic', 'Education', 'Governance']",Economic
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
Primary school age children out-of-school (%),SE.LPV.PRIM.SD,Education,"['Education', 'Demographics']",Education
Primary school starting age (years),SE.PRM.AGES,Education,"['Education', 'Demographics']",Education
Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,Demographics,"['Demographics', 'Financial Services']",Demographics
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,Demographics,['Demographics'],Demographics
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,Demographics,['Demographics'],Demographics
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,Demographics,['Demographics'],Demographics
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,Demographics,['Demographics'],Demographics
Procedures to build a warehouse (number),IC.WRH.PROC,Military,['Military'],Military
Procedures to register property (number),IC.PRP.PROC,Other,[],Other
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Economic,['Economic'],Economic
Progression to secondary school (%),SE.SEC.PROG.ZS,Education,['Education'],Education
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,Education,"['Education', 'Gender']",Education
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,Education,['Education'],Education
Proportion of people living below 50 percent of median income (%),SI.DST.50MD,Economic,['Economic'],Economic
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.TOTR.ZS,Economic,"['Economic', 'Poverty', 'Healthcare', 'Demographics']",Healthcare
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,Economic,"['Economic', 'Healthcare', 'Demographics']",Healthcare
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Economic,"['Economic', 'Healthcare', 'Demographics']",Healthcare
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Gender,['Gender'],Gender
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,Gender,['Gender'],Gender
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,Other,[],Other
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,Demographics,"['Demographics', 'Gender', 'Military']",Gender
Prosperity gap (average shortfall from a prosperity standard of $25/day),SI.SPR.PGAP,Demographics,['Demographics'],Demographics
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS,Economic,"['Economic', 'Education']",Economic
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS,Economic,['Economic'],Economic
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,Demographics,"['Demographics', 'Financial Services']",Demographics
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,Economic,"['Economic', 'Climate']",Economic
Public private partnerships investment in ICT (current US$),IE.PPN.ICTI.CD,Economic,"['Economic', 'Infrastructure', 'Technology']",Economic
Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,Economic,"['Economic', 'Infrastructure']",Economic
Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD,Economic,"['Economic', 'Healthcare', 'Infrastructure']",Economic
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD,Education,['Education'],Education
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,Education,['Education'],Education
"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,Education,['Education'],Education
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,Education,['Education'],Education
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Education,['Education'],Education
"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,Education,['Education'],Education
"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,Education,['Education'],Education
Rail lines (total route-km),IS.RRS.TOTL.KM,Infrastructure,['Infrastructure'],Infrastructure
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,Infrastructure,['Infrastructure'],Infrastructure
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,Infrastructure,['Infrastructure'],Infrastructure
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Labor,"['Labor', 'Gender']",Gender
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,Labor,"['Labor', 'Gender']",Gender
Real effective exchange rate index (2010 = 100),PX.REX.REER,Economic,['Economic'],Economic
Real interest rate (%),FR.INR.RINR,Economic,['Economic'],Economic
Refugee population by country or territory of asylum,SM.POP.REFG,Demographics,['Demographics'],Demographics
Refugee population by country or territory of origin,SM.POP.REFG.OR,Demographics,['Demographics'],Demographics
Regulatory Quality: Estimate,RQ.EST,Governance,['Governance'],Governance
Regulatory Quality: Number of Sources,RQ.NO.SRC,Governance,['Governance'],Governance
Regulatory Quality: Percentile Rank,RQ.PER.RNK,Governance,['Governance'],Governance
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,Governance,['Governance'],Governance
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,Governance,['Governance'],Governance
Regulatory Quality: Standard Error,RQ.STD.ERR,Governance,['Governance'],Governance
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Climate,"['Climate', 'Infrastructure']",Climate
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Economic,"['Economic', 'Climate']",Economic
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,Climate,"['Climate', 'Infrastructure', 'Natural Resources']",Climate
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,Climate,"['Climate', 'Infrastructure', 'Natural Resources']",Climate
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,Education,"['Education', 'Gender']",Gender
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,Education,['Education'],Education
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,Education,['Education'],Education
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Economic,"['Economic', 'Technology']",Economic
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Technology,['Technology'],Technology
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Economic,['Economic'],Economic
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,Economic,['Economic'],Economic
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,Economic,['Economic'],Economic
Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,Economic,['Economic'],Economic
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Financial Services,['Financial Services'],Financial Services
Rule of Law: Estimate,RL.EST,Governance,['Governance'],Governance
Rule of Law: Number of Sources,RL.NO.SRC,Governance,['Governance'],Governance
Rule of Law: Percentile Rank,RL.PER.RNK,Governance,['Governance'],Governance
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,Governance,['Governance'],Governance
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,Governance,['Governance'],Governance
Rule of Law: Standard Error,RL.STD.ERR,Governance,['Governance'],Governance
Rural land area (sq. km),AG.LND.TOTL.RU.K2,Agriculture,['Agriculture'],Agriculture
Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,Agriculture,['Agriculture'],Agriculture
Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,Agriculture,['Agriculture'],Agriculture
Rural population,SP.RUR.TOTL,Agriculture,"['Agriculture', 'Demographics']",Agriculture
Rural population (% of total population),SP.RUR.TOTL.ZS,Agriculture,"['Agriculture', 'Demographics']",Agriculture
Rural population growth (annual %),SP.RUR.TOTL.ZG,Agriculture,"['Agriculture', 'Demographics']",Agriculture
Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,Agriculture,"['Agriculture', 'Demographics']",Agriculture
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,Economic,['Economic'],Economic
"School enrollment, preprimary (% gross)",SE.PRE.ENRR,Education,['Education'],Education
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,Education,"['Education', 'Gender']",Education
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,Education,['Education'],Education
"School enrollment, primary (% gross)",SE.PRM.ENRR,Education,['Education'],Education
"School enrollment, primary (% net)",SE.PRM.NENR,Education,['Education'],Education
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,Education,"['Education', 'Gender']",Education
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,Education,"['Education', 'Gender']",Education
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,Education,['Education'],Education
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,Education,['Education'],Education
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,Education,['Education'],Education
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Education,['Education'],Education
"School enrollment, secondary (% net)",SE.SEC.NENR,Education,['Education'],Education
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Education,"['Education', 'Gender']",Education
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Education,"['Education', 'Gender']",Education
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,Education,['Education'],Education
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,Education,['Education'],Education
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,Education,['Education'],Education
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Education,['Education'],Education
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Education,"['Education', 'Gender']",Education
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,Education,['Education'],Education
Scientific and technical journal articles,IP.JRN.ARTC.SC,Technology,['Technology'],Technology
"Secondary education, duration (years)",SE.SEC.DURS,Education,['Education'],Education
"Secondary education, general pupils",SE.SEC.ENRL.GC,Education,['Education'],Education
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,Education,"['Education', 'Gender']",Education
"Secondary education, pupils",SE.SEC.ENRL,Education,['Education'],Education
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,Education,"['Education', 'Gender']",Education
"Secondary education, teachers",SE.SEC.TCHR,Education,['Education'],Education
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,Education,"['Education', 'Gender']",Education
"Secondary education, teachers, female",SE.SEC.TCHR.FE,Education,"['Education', 'Gender']",Education
"Secondary education, vocational pupils",SE.SEC.ENRL.VO,Education,['Education'],Education
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,Education,"['Education', 'Gender']",Education
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
Secure Internet servers,IT.NET.SECR,Infrastructure,"['Infrastructure', 'Technology']",Infrastructure
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,Infrastructure,"['Infrastructure', 'Technology']",Infrastructure
"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,Labor,"['Labor', 'Gender']",Gender
"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,Labor,['Labor'],Labor
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,Labor,['Labor'],Labor
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Financial Services,['Financial Services'],Financial Services
"Services, value added (constant 2015 US$)",NV.SRV.TOTL.KD,Financial Services,['Financial Services'],Financial Services
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Financial Services,['Financial Services'],Financial Services
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Financial Services,['Financial Services'],Financial Services
"Services, value added (current US$)",NV.SRV.TOTL.CD,Financial Services,['Financial Services'],Financial Services
"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,Financial Services,['Financial Services'],Financial Services
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Gender
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,Economic,['Economic'],Economic
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,Economic,"['Economic', 'Education']",Economic
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,Economic,['Economic'],Economic
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,Economic,"['Economic', 'Education']",Economic
"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,Education,"['Education', 'Demographics', 'Labor', 'Gender']",Education
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,Education,"['Education', 'Demographics', 'Labor', 'Gender']",Education
"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,Education,"['Education', 'Demographics', 'Labor']",Education
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,Economic,"['Economic', 'Education']",Economic
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Economic,['Economic'],Economic
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Economic,['Economic'],Economic
Social contributions (% of revenue),GC.REV.SOCL.ZS,Economic,['Economic'],Economic
Social contributions (current LCU),GC.REV.SOCL.CN,Other,[],Other
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Demographics,"['Demographics', 'Labor']",Demographics
Start-up procedures to register a business (number),IC.REG.PROC,Economic,['Economic'],Economic
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Economic,"['Economic', 'Gender']",Gender
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,Economic,['Economic'],Economic
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Other,[],Other
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,Other,[],Other
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),IQ.SPI.PIL2,Other,[],Other
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3,Economic,['Economic'],Economic
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),IQ.SPI.PIL4,Other,[],Other
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5,Other,[],Other
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Economic,['Economic'],Economic
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Economic,['Economic'],Economic
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Economic,['Economic'],Economic
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Governance,"['Governance', 'Law & Justice']",Governance
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN,Financial Services,['Financial Services'],Financial Services
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Surface area (sq. km),AG.SRF.TOTL.K2,Other,[],Other
"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",SI.SPR.PC40,Economic,"['Economic', 'Poverty', 'Demographics']",Economic
"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",SI.SPR.PCAP,Economic,"['Economic', 'Demographics']",Economic
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,Demographics,"['Demographics', 'Gender']",Gender
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,Demographics,['Demographics'],Demographics
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,Economic,['Economic'],Economic
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,Economic,"['Economic', 'Education']",Economic
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Economic,['Economic'],Economic
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,Economic,"['Economic', 'Education']",Economic
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,Economic,['Economic'],Economic
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,Economic,"['Economic', 'Education']",Economic
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,Economic,['Economic'],Economic
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Economic,"['Economic', 'Education']",Economic
Tax payments (number),IC.TAX.PAYM,Economic,['Economic'],Economic
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Economic,['Economic'],Economic
Tax revenue (current LCU),GC.TAX.TOTL.CN,Economic,['Economic'],Economic
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,Economic,"['Economic', 'Financial Services']",Financial Services
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Economic,"['Economic', 'Financial Services']",Financial Services
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Economic,['Economic'],Economic
Taxes on exports (current LCU),GC.TAX.EXPT.CN,Economic,['Economic'],Economic
Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,Economic,['Economic'],Economic
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,Economic,['Economic'],Economic
Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,Economic,['Economic'],Economic
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Economic,['Economic'],Economic
